(index) -> (Time,IDN,Latitude,Longitude,Z,P,T)
Time[fmt="yyyy-MM-dd HH:mm:ss"],IDN[unit=""],Latitude[unit="deg"],Longitude[unit="degrees west"],Z[unit="m"],P[unit="hPa"],T[unit="celsius"]
2009-02-03 12:00:00Z,72214.0,30.4,84.3,5550.0,500.0,-23.1
2009-02-03 12:00:00Z,72274.0,32.2,111.0,5800.0,500.0,-14.7
2009-02-03 12:00:00Z,72293.0,32.9,117.1,5780.0,500.0,-15.7
2009-02-03 12:00:00Z,72649.0,44.8,93.6,5300.0,500.0,-33.7
2009-02-03 12:00:00Z,72201.0,24.6,81.8,5750.0,500.0,-14.1
2009-02-03 12:00:00Z,74004.0,32.5,114.0,5790.0,500.0,-15.3
2009-02-03 12:00:00Z,72230.0,33.2,86.8,5480.0,500.0,-25.7
2009-02-03 12:00:00Z,72340.0,34.8,92.2,5510.0,500.0,-24.7
2009-02-03 12:00:00Z,72376.0,35.2,111.8,5790.0,500.0,-16.5
2009-02-03 12:00:00Z,72393.0,34.7,120.6,5780.0,500.0,-15.7
2009-02-03 12:00:00Z,72469.0,39.8,104.9,5690.0,500.0,-19.5
2009-02-03 12:00:00Z,72476.0,39.1,108.5,5740.0,500.0,-17.1
2009-02-03 12:00:00Z,72206.0,30.5,81.7,5550.0,500.0,-23.5
2009-02-03 12:00:00Z,72202.0,25.8,80.3,5740.0,500.0,-12.1
2009-02-03 12:00:00Z,72210.0,27.7,82.4,5650.0,500.0,-18.3
2009-02-03 12:00:00Z,74794.0,28.5,80.6,5650.0,500.0,-17.1
2009-02-03 12:00:00Z,72215.0,33.4,84.6,5460.0,500.0,-26.9
2009-02-03 12:00:00Z,74455.0,41.6,90.6,5250.0,500.0,-35.1
2009-02-03 12:00:00Z,72681.0,43.6,116.2,5760.0,500.0,-16.9
2009-02-03 12:00:00Z,74560.0,40.2,89.3,5250.0,500.0,-34.5
2009-02-03 12:00:00Z,72451.0,37.8,100.0,5630.0,500.0,-19.7
2009-02-03 12:00:00Z,72456.0,39.1,95.6,5470.0,500.0,-27.9
2009-02-03 12:00:00Z,72240.0,30.1,93.2,5670.0,500.0,-20.1
2009-02-03 12:00:00Z,72233.0,30.3,89.8,5610.0,500.0,-21.3
2009-02-03 12:00:00Z,72248.0,32.4,93.8,5620.0,500.0,-20.9
2009-02-03 12:00:00Z,74494.0,41.7,70.0,5480.0,500.0,-19.5
2009-02-03 12:00:00Z,74002.0,39.5,76.6,5390.0,500.0,-25.5
2009-02-03 12:00:00Z,74389.0,43.9,70.2,5410.0,500.0,-23.5
2009-02-03 12:00:00Z,72712.0,46.9,68.0,5340.0,500.0,-26.7
2009-02-03 12:00:00Z,72634.0,44.9,84.7,5210.0,500.0,-37.5
2009-02-03 12:00:00Z,72747.0,48.6,93.4,5270.0,500.0,-38.5
2009-02-03 12:00:00Z,72440.0,37.2,93.4,5460.0,500.0,-28.3
2009-02-03 12:00:00Z,72235.0,32.3,90.1,5550.0,500.0,-23.1
2009-02-03 12:00:00Z,72776.0,47.5,111.4,5660.0,500.0,-20.7
2009-02-03 12:00:00Z,72768.0,48.2,106.6,5580.0,500.0,-22.9
2009-02-03 12:00:00Z,72317.0,36.1,79.9,5390.0,500.0,-27.1
2009-02-03 12:00:00Z,72305.0,34.8,76.9,5470.0,500.0,-21.3
2009-02-03 12:00:00Z,72764.0,46.8,100.8,5450.0,500.0,-28.3
2009-02-03 12:00:00Z,72562.0,41.1,100.7,5580.0,500.0,-21.3
2009-02-03 12:00:00Z,72558.0,41.3,96.4,5420.0,500.0,-30.7
2009-02-03 12:00:00Z,72365.0,35.0,106.6,5770.0,500.0,-16.7
2009-02-03 12:00:00Z,72364.0,31.9,106.7,5790.0,500.0,-15.5
2009-02-03 12:00:00Z,72489.0,39.6,119.8,5780.0,500.0,-15.7
2009-02-03 12:00:00Z,72582.0,40.9,115.7,5780.0,500.0,-16.3
2009-02-03 12:00:00Z,72387.0,36.6,116.0,5790.0,500.0,-16.9
2009-02-03 12:00:00Z,72501.0,40.9,72.9,5410.0,500.0,-22.3
2009-02-03 12:00:00Z,72518.0,42.7,73.8,5360.0,500.0,-26.1
2009-02-03 12:00:00Z,72528.0,42.9,78.7,5250.0,500.0,-32.9
2009-02-03 12:00:00Z,72426.0,39.4,83.8,5240.0,500.0,-37.7
2009-02-03 12:00:00Z,74646.0,34.5,97.0,5610.0,500.0,-20.3
2009-02-03 12:00:00Z,72357.0,35.2,97.4,5640.0,500.0,-20.7
2009-02-03 12:00:00Z,72597.0,42.4,122.9,5740.0,500.0,-17.5
2009-02-03 12:00:00Z,72694.0,44.9,123.0,5730.0,500.0,-16.7
2009-02-03 12:00:00Z,72520.0,40.5,80.3,5260.0,500.0,-31.3
2009-02-03 12:00:00Z,72208.0,32.9,80.0,5480.0,500.0,-24.3
2009-02-03 12:00:00Z,72659.0,45.4,98.4,5410.0,500.0,-31.7
2009-02-03 12:00:00Z,72662.0,44.0,103.1,5590.0,500.0,-22.1
2009-02-03 12:00:00Z,72327.0,36.1,86.7,5370.0,500.0,-31.5
2009-02-03 12:00:00Z,72363.0,35.2,101.7,5710.0,500.0,-18.7
2009-02-03 12:00:00Z,72250.0,25.9,97.4,5750.0,500.0,-18.5
2009-02-03 12:00:00Z,72251.0,27.8,97.5,5750.0,500.0,-17.7
2009-02-03 12:00:00Z,72261.0,29.4,100.9,5760.0,500.0,-17.3
2009-02-03 12:00:00Z,72249.0,32.8,97.3,5680.0,500.0,-19.1
2009-02-03 12:00:00Z,72265.0,31.9,102.2,5750.0,500.0,-16.7
2009-02-03 12:00:00Z,72572.0,40.8,112.0,5760.0,500.0,-17.1
2009-02-03 12:00:00Z,72318.0,37.2,80.4,5350.0,500.0,-30.1
2009-02-03 12:00:00Z,72403.0,38.9,77.4,5370.0,500.0,-26.9
2009-02-03 12:00:00Z,72402.0,37.9,75.5,5430.0,500.0,-23.1
2009-02-03 12:00:00Z,72786.0,47.7,117.6,5710.0,500.0,-19.9
2009-02-03 12:00:00Z,72797.0,47.9,124.6,5670.0,500.0,-18.1
2009-02-03 12:00:00Z,72645.0,44.5,88.1,5230.0,500.0,-36.5
2009-02-03 12:00:00Z,72672.0,43.1,108.4,5690.0,500.0,-18.9
2009-02-03 12:00:00Z,71119.0,53.5,114.1,5550.0,500.0,-24.1
2009-02-03 12:00:00Z,71203.0,50.0,119.4,5670.0,500.0,-20.9
2009-02-03 12:00:00Z,71109.0,50.7,127.4,5580.0,500.0,-20.3
2009-02-03 12:00:00Z,71867.0,54.0,101.1,5350.0,500.0,-35.3
2009-02-03 12:00:00Z,71815.0,48.5,58.5,5400.0,500.0,-25.5
2009-02-03 12:00:00Z,71816.0,53.3,60.4,5200.0,500.0,-34.7
2009-02-03 12:00:00Z,71801.0,47.6,52.7,5490.0,500.0,-25.7
2009-02-03 12:00:00Z,71600.0,43.9,60.0,5560.0,500.0,-21.7
2009-02-03 12:00:00Z,71603.0,43.8,66.1,5480.0,500.0,-21.3
2009-02-03 12:00:00Z,71845.0,51.4,90.2,5230.0,500.0,-37.7
2009-02-03 12:00:00Z,71722.0,46.4,76.0,5250.0,500.0,-34.1
2009-02-03 12:00:00Z,71823.0,53.8,73.7,5170.0,500.0,-37.7
2009-02-03 12:00:00Z,71836.0,51.3,80.6,5230.0,500.0,-35.5
2009-02-03 12:00:00Z,71811.0,50.2,66.3,5230.0,500.0,-32.5
2009-02-03 12:00:00Z,76692.0,19.1,96.1,5820.0,500.0,-7.3
2009-02-03 12:00:00Z,76405.0,24.3,110.4,5820.0,500.0,-11.3
2009-02-03 12:00:00Z,76679.0,19.4,99.1,5840.0,500.0,-7.5
2009-02-03 12:00:00Z,76654.0,19.0,104.3,5860.0,500.0,-8.9
2009-02-03 12:00:00Z,76256.0,27.9,110.9,5800.0,500.0,-14.3
2009-02-03 12:00:00Z,76225.0,28.6,106.1,5770.0,500.0,-14.7
2009-02-03 12:00:00Z,76458.0,23.2,106.4,5810.0,500.0,-9.7
2009-02-03 12:00:00Z,76394.0,25.9,100.2,5760.0,500.0,-17.5
2009-02-03 12:00:00Z,76644.0,20.9,89.6,5810.0,500.0,-7.9
2009-02-03 12:00:00Z,78866.0,18.0,63.1,5870.0,500.0,-7.7
2009-02-03 12:00:00Z,78016.0,32.4,64.7,5760.0,500.0,-13.9
2009-02-03 12:00:00Z,78073.0,25.0,77.5,5770.0,500.0,-10.9
2009-02-03 12:00:00Z,78486.0,18.4,69.9,5860.0,500.0,-6.3
2009-02-03 12:00:00Z,78384.0,19.3,81.3,5840.0,500.0,-8.9
