pressure,height,temperature,dewpoint,direction,speed,station,time,u_wind,v_wind,latitude,longitude
500.0,5377.0,-28.7,-39.8,316.0,75.0,1M1,1993-03-14,52.09937778442482,-53.95048502539881,,
300.0,8859.0,-47.9,,304.0,96.0,1M1,1993-03-14,79.587606965284,-53.68251873319171,,
500.0,5110.0,-43.5,-54.5,310.0,23.0,CWPL,1993-03-14,17.619022191736498,-14.784115022790402,51.46666666666667,-90.2
300.0,8420.0,-53.9,-62.9,300.0,27.0,CWPL,1993-03-14,23.38268590217984,-13.5,51.46666666666667,-90.2
500.0,5470.0,-13.7,-14.1,215.0,96.0,CWQI,1993-03-14,55.063337889700435,78.6385962517432,,
300.0,9160.0,-40.3,-44.3,225.0,122.0,CWQI,1993-03-14,86.26702730475878,86.26702730475881,,
500.0,5420.0,-28.3,-39.3,290.0,44.0,CWSE,1993-03-14,41.34647531457997,-15.048886306329438,53.53333333333333,-114.08333333333333
300.0,8910.0,-53.5,-59.5,300.0,96.0,CWSE,1993-03-14,83.13843876330611,-48.0,53.53333333333333,-114.08333333333333
500.0,5020.0,-41.7,-52.7,260.0,43.0,CYAH,1993-03-14,42.34673337952494,7.466871639678004,53.75,-73.66666666666667
300.0,8479.0,-43.1,-55.1,240.0,165.0,CYAH,1993-03-14,142.89419162443232,82.50000000000007,53.75,-73.66666666666667
500.0,4989.0,-46.9,-55.9,335.0,54.0,CYCB,1993-03-14,22.821386133997756,-48.940620499979104,69.08333333333333,-105.11666666666666
300.0,8260.0,-58.5,-66.5,330.0,57.0,CYCB,1993-03-14,28.500000000000025,-49.36344801571299,69.08333333333333,-105.11666666666666
500.0,4850.0,-48.7,-55.7,20.0,17.0,CYEU,1993-03-14,-5.814342436536368,-15.974774553360444,80.0,-85.81666666666666
300.0,8110.0,-59.5,-66.5,20.0,19.0,CYEU,1993-03-14,-6.498382723187706,-17.85415979493226,80.0,-85.81666666666666
500.0,5250.0,-37.3,-45.3,310.0,38.0,CYEV,1993-03-14,29.10968883852117,-24.42592916808849,68.31666666666666,-133.5
300.0,8639.0,-49.9,-65.9,320.0,54.0,CYEV,1993-03-14,34.71053092307314,-41.366399928424805,68.31666666666666,-133.5
500.0,5379.0,-21.5,-24.2,275.0,102.0,CYJT,1993-03-14,101.61185920535804,-8.889885760261105,48.55,-58.56666666666667
300.0,9000.0,-42.7,-48.7,270.0,143.0,CYJT,1993-03-14,143.0,2.6268673841710724e-14,48.55,-58.56666666666667
500.0,4839.0,-48.9,-53.9,45.0,12.0,CYLT,1993-03-14,-8.48528137423857,-8.485281374238571,82.51666666666667,-62.266666666666666
300.0,8120.0,-58.1,-66.1,135.0,7.0,CYLT,1993-03-14,-4.949747468305833,4.949747468305832,82.51666666666667,-62.266666666666666
500.0,5039.0,-43.9,-52.9,350.0,33.0,CYMD,1993-03-14,5.7303898630087025,-32.498655849402866,76.21666666666667,-119.31666666666666
300.0,8329.0,-58.9,-64.9,355.0,45.0,CYMD,1993-03-14,3.922008423644624,-44.82876141412855,76.21666666666667,-119.31666666666666
500.0,5089.0,-41.3,-53.3,280.0,22.0,CYMO,1993-03-14,21.665770566268577,-3.820259908672459,51.28333333333333,-80.61666666666666
300.0,8510.0,-47.1,-59.1,220.0,129.0,CYMO,1993-03-14,82.91960164956356,98.81973316234817,51.28333333333333,-80.61666666666666
500.0,4920.0,-46.5,-52.5,320.0,24.0,CYPH,1993-03-14,15.42690263247695,-18.38506663485547,58.46666666666667,-78.08333333333333
300.0,8220.0,-54.7,-62.7,260.0,21.0,CYPH,1993-03-14,20.680962813256368,3.646611731005537,58.46666666666667,-78.08333333333333
500.0,5229.0,-39.1,-45.1,330.0,44.0,CYQD,1993-03-14,22.00000000000002,-38.10511776651529,53.96666666666667,-101.08333333333333
300.0,8620.0,-53.5,-61.5,335.0,78.0,CYQD,1993-03-14,32.96422441577454,-70.6920073888587,53.96666666666667,-101.08333333333333
500.0,4870.0,-50.9,-55.7,5.0,41.0,CYRB,1993-03-14,-3.573385452653985,-40.84398262176157,74.71666666666667,-94.96666666666667
300.0,8120.0,-57.1,-64.1,10.0,26.0,CYRB,1993-03-14,-4.514852619340188,-25.60500157831741,74.71666666666667,-94.96666666666667
500.0,5550.0,-17.5,-31.5,245.0,80.0,CYSA,1993-03-14,72.50462296293202,33.80946093925593,43.916666666666664,-60.0
300.0,9239.0,-39.1,-44.1,255.0,101.0,CYSA,1993-03-14,97.5585084551959,26.140723555354583,43.916666666666664,-60.0
500.0,5279.0,-34.9,-40.9,310.0,35.0,CYSM,1993-03-14,26.811555509164233,-22.497566339028875,60.03333333333333,-111.96666666666667
300.0,8689.0,-54.3,-63.3,305.0,54.0,CYSM,1993-03-14,44.23421039160556,-30.973127562956485,60.03333333333333,-111.96666666666667
500.0,4770.0,-48.9,-55.9,290.0,28.0,CYUX,1993-03-14,26.311393382005434,-9.576564013118734,68.76666666666667,-81.25
300.0,8050.0,-56.5,-63.5,265.0,13.0,CYUX,1993-03-14,12.950531075192693,1.1330246557195571,68.76666666666667,-81.25
500.0,4860.0,-44.7,-48.4,265.0,12.0,CYVN,1993-03-14,11.954336377100947,1.045868912971899,,
300.0,8189.0,-52.5,-60.5,245.0,18.0,CYVN,1993-03-14,16.313540166659703,7.607128711332584,,
500.0,4920.0,-45.9,-53.9,255.0,22.0,CYVP,1993-03-14,21.2503681783595,5.694018992255454,58.11666666666667,-68.41666666666667
300.0,8279.0,-47.5,-57.5,245.0,46.0,CYVP,1993-03-14,41.690158203685904,19.440440040072158,58.11666666666667,-68.41666666666667
500.0,5279.0,-33.1,-36.0,305.0,36.0,CYVQ,1993-03-14,29.489473594403705,-20.648751708637658,65.26666666666667,-126.78333333333333
300.0,8700.0,-55.1,-63.1,300.0,49.0,CYVQ,1993-03-14,42.43524478543749,-24.5,65.26666666666667,-126.78333333333333
500.0,5420.0,-25.9,-38.9,265.0,57.0,CYXS,1993-03-14,56.783097791229494,4.96787733661652,53.9,-122.68333333333334
300.0,8920.0,-52.3,-60.3,265.0,94.0,CYXS,1993-03-14,93.64230162062408,8.192639818279876,53.9,-122.68333333333334
500.0,5350.0,-29.9,-33.8,270.0,3.0,CYYE,1993-03-14,3.0,5.51091059616309e-16,58.81666666666667,-122.56666666666666
300.0,8789.0,-52.3,-65.3,330.0,4.0,CYYE,1993-03-14,2.0000000000000018,-3.4641016151377535,58.81666666666667,-122.56666666666666
500.0,5010.0,-47.1,-56.1,310.0,39.0,CYYQ,1993-03-14,29.875733281640148,-25.06871677777503,58.75,-94.06666666666666
300.0,8310.0,-53.9,-63.9,330.0,46.0,CYYQ,1993-03-14,23.00000000000002,-39.83716857408417,58.75,-94.06666666666666
500.0,5110.0,-35.3,-51.3,265.0,77.0,CYYR,1993-03-14,76.7069917530644,6.7109921915696855,53.31666666666667,-60.416666666666664
300.0,8650.0,-43.1,-51.1,275.0,171.0,CYYR,1993-03-14,170.34929337368848,-14.903632009849499,53.31666666666667,-60.416666666666664
500.0,5389.0,-19.9,-28.9,295.0,121.0,CYYT,1993-03-14,109.66324223143462,-51.13680967062465,47.61666666666667,-52.71666666666667
300.0,9010.0,-43.1,-52.1,290.0,142.0,CYYT,1993-03-14,133.43635215159898,-48.566860352245,47.61666666666667,-52.71666666666667
500.0,4870.0,-48.5,-52.6,310.0,15.0,CYZS,1993-03-14,11.490666646784671,-9.641814145298088,64.2,-83.36666666666666
300.0,8129.0,-57.5,-63.5,280.0,13.0,CYZS,1993-03-14,12.802500789158707,-2.2574263096700897,64.2,-83.36666666666666
500.0,5510.0,-22.7,-33.7,250.0,37.0,CYZT,1993-03-14,34.76862696907861,12.654745303049735,50.666666666666664,-127.36666666666666
300.0,9050.0,-50.1,-62.1,250.0,49.0,CYZT,1993-03-14,46.04493841850951,16.758987022957758,50.666666666666664,-127.36666666666666
500.0,5250.0,-24.7,-27.1,250.0,102.0,CYZV,1993-03-14,95.84864732016266,34.886054619218186,50.21666666666667,-66.26666666666667
300.0,8850.0,-43.1,-46.9,245.0,156.0,CYZV,1993-03-14,141.38401477771743,65.92844883154906,50.21666666666667,-66.26666666666667
500.0,5652.0,-14.6,-30.2,310.0,60.0,KABQ,1993-03-14,45.962666587138685,-38.56725658119235,35.05,-106.61666666666666
300.0,9308.0,-42.2,,304.0,96.0,KABQ,1993-03-14,79.587606965284,-53.68251873319171,35.05,-106.61666666666666
500.0,5243.0,-18.1,-35.4,178.0,96.0,KACY,1993-03-14,-3.3503516834401097,95.94151939383319,39.45,-74.56666666666666
300.0,8890.0,-41.7,,192.0,116.0,KACY,1993-03-14,24.1177561348601,113.46512168512145,39.45,-74.56666666666666
500.0,5505.0,-28.6,-38.9,8.0,25.0,KADQ,1993-03-14,-3.479327524001636,-24.756701718539258,,
300.0,8976.0,-51.2,,30.0,12.0,KADQ,1993-03-14,-5.999999999999999,-10.392304845413264,,
500.0,5195.0,-31.1,-33.3,286.0,48.0,KAHN,1993-03-14,46.1405614050393,-13.230593079215971,33.95,-83.33333333333333
300.0,8751.0,-37.1,-49.1,254.0,62.0,KAHN,1993-03-14,59.59822514817578,17.08951606065393,33.95,-83.33333333333333
500.0,5522.0,-29.8,-43.0,104.0,6.0,KAKN,1993-03-14,-5.821774357655979,1.4515313735980067,,
500.0,5276.0,-16.3,-17.9,190.0,79.0,KALB,1993-03-14,13.718206035687507,77.79981248796443,42.75,-73.8
300.0,8932.0,-43.5,,188.0,87.0,KALB,1993-03-14,12.1080597835257,86.15332198051661,42.75,-73.8
500.0,5557.0,-22.8,-26.2,318.0,56.0,KAMA,1993-03-14,37.471313956096054,-41.61611022673408,35.21666666666667,-101.71666666666667
300.0,9137.0,-46.7,,311.0,104.0,KAMA,1993-03-14,78.48979634316831,-68.23013901501274,35.21666666666667,-101.71666666666667
500.0,5495.0,-26.0,-42.1,49.0,21.0,KANC,1993-03-14,-15.84890118467821,-13.777239608800656,,
300.0,8997.0,-52.5,,55.0,50.0,KANC,1993-03-14,-40.95760221444959,-28.678821817552308,,
500.0,5346.0,-36.2,-46.5,250.0,31.0,KANN,1993-03-14,29.13047124436316,10.602624443095722,,
300.0,8824.0,-44.7,,252.0,44.0,KANN,1993-03-14,41.84648671698675,13.596747752497693,,
500.0,5288.0,-22.3,-36.1,260.0,104.0,KAYS,1993-03-14,102.42000631326964,18.059410477360753,31.25,-82.4
300.0,8937.0,-38.2,-49.4,,,KAYS,1993-03-14,,,31.25,-82.4
500.0,5533.0,-28.3,-42.4,121.0,12.0,KBET,1993-03-14,-10.286007608425347,6.180456898920649,,
300.0,9026.0,-48.7,,108.0,54.0,KBET,1993-03-14,-51.3570518799383,16.686917696247157,,
500.0,5326.0,-34.2,-44.7,330.0,64.0,KBIS,1993-03-14,32.00000000000003,-55.425625842204056,46.766666666666666,-100.75
300.0,8769.0,-53.2,,328.0,92.0,KBIS,1993-03-14,48.75257230945486,-78.02042484639118,46.766666666666666,-100.75
500.0,5124.0,-39.7,-53.1,276.0,19.0,KBNA,1993-03-14,18.895916011997194,-1.986040802085407,36.11666666666667,-86.68333333333334
300.0,8584.0,-42.9,,269.0,39.0,KBNA,1993-03-14,38.99406011109926,0.6806438510540564,36.11666666666667,-86.68333333333334
500.0,5626.0,-19.2,-30.4,288.0,37.0,KBOI,1993-03-14,35.189091102920685,-11.433628791873048,43.56666666666667,-116.23333333333333
300.0,9226.0,-47.1,,280.0,54.0,KBOI,1993-03-14,53.17961866265924,-9.377001594014219,43.56666666666667,-116.23333333333333
500.0,5728.0,-12.0,-28.3,282.0,62.0,KBRO,1993-03-14,60.645151245495946,-12.890524830701084,25.916666666666668,-97.41666666666667
300.0,9438.0,-40.1,-54.2,301.0,92.0,KBRO,1993-03-14,78.85939166459434,-47.38350289172497,25.916666666666668,-97.41666666666667
500.0,5469.0,-29.2,-39.4,327.0,56.0,KBRW,1993-03-14,30.49978596084151,-46.96555180494374,,
300.0,8944.0,-54.1,,322.0,85.0,KBRW,1993-03-14,52.33122540268094,-66.98091405657136,,
500.0,5191.0,-21.5,-23.4,172.0,39.0,KBUF,1993-03-14,-5.427750937442546,38.62045468092124,42.93333333333333,-78.73333333333333
300.0,8800.0,-46.4,,170.0,64.0,KBUF,1993-03-14,-11.113483370683536,63.02769619278132,42.93333333333333,-78.73333333333333
500.0,5354.0,-20.5,-21.9,216.0,73.0,KCAR,1993-03-14,42.90832341735053,59.05824058937117,46.86666666666667,-68.01666666666667
300.0,8997.0,-41.9,,225.0,139.0,KCAR,1993-03-14,98.2878425849301,98.28784258493013,46.86666666666667,-68.01666666666667
500.0,5486.0,-27.8,-30.9,166.0,13.0,KCDB,1993-03-14,-3.1449846427956807,12.613844441587954,,
300.0,8959.0,-54.5,,217.0,48.0,KCDB,1993-03-14,28.88712111129832,38.334504482270056,,
500.0,5436.0,-13.0,-18.5,,,KCHH,1993-03-14,,,41.666666666666664,-69.96666666666667
300.0,9115.0,-41.7,,,,KCHH,1993-03-14,,,41.666666666666664,-69.96666666666667
500.0,5206.0,-23.8,-40.3,247.0,73.0,KCHS,1993-03-14,67.19685430202814,28.52337237971699,32.9,-80.03333333333333
300.0,8867.0,-35.2,-50.0,226.0,119.0,KCHS,1993-03-14,85.60143624029949,82.66434608462068,32.9,-80.03333333333333
500.0,5287.0,-29.1,-40.7,307.0,92.0,KCKL,1993-03-14,73.47446692435098,-55.36698212998841,32.88333333333333,-87.25
300.0,8816.0,-41.0,-51.1,283.0,92.0,KCKL,1993-03-14,89.64204596024165,-20.69549699963557,32.88333333333333,-87.25
500.0,5687.0,-13.5,-31.5,,,KCRP,1993-03-14,,,27.766666666666666,-97.5
300.0,9361.0,-41.2,,,,KCRP,1993-03-14,,,27.766666666666666,-97.5
500.0,5233.0,-27.3,-30.0,354.0,31.0,KDAY,1993-03-14,3.240382361297256,-30.830178756416473,39.9,-84.21666666666667
300.0,8840.0,-35.1,-38.4,207.0,19.0,KDAY,1993-03-14,8.625819495051386,16.92912395957899,39.9,-84.21666666666667
500.0,5486.0,-27.1,-37.5,324.0,58.0,KDDC,1993-03-14,34.09154463296345,-46.92298567374694,37.766666666666666,-99.96666666666667
300.0,8992.0,-51.2,,315.0,89.0,KDDC,1993-03-14,62.93250352560274,-62.932503525602726,37.766666666666666,-99.96666666666667
500.0,5546.0,-24.8,-34.1,321.0,40.0,KDEN,1993-03-14,25.172815641993513,-31.085838458278822,39.85,-104.65
