PRES,TMPC,DWPC,SPED,DRCT,HGHT,OMEG,CWTR,DTCP,DTGP,DTSW,DTLW,CFRL,TKEL,IMXR,DTAR
991.7,2.74,-8.59,5.58,302.55,292.1,-0.2,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,1.85,-9999.0,-9999.0
988.8,2.54,-9.14,8.06,307.44,315.8,-0.2,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,2.1,-9999.0,-9999.0
983.5,2.04,-9.89,9.46,308.57,359.2,-0.2,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,1.67,-9999.0,-9999.0
974.2,1.34,-11.0,10.72,310.08,435.7,-0.2,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,1.32,-9999.0,-9999.0
960.6,0.14,-12.41,11.54,311.84,548.5,-0.2,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0.85,-9999.0,-9999.0
943.2,-1.36,-13.55,12.24,313.34,694.5,-0.2,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0.28,-9999.0,-9999.0
922.5,-3.06,-14.08,12.8,315.32,870.6,-0.2,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0.02,-9999.0,-9999.0
899.8,-4.96,-14.3,13.24,317.76,1067.1,-0.2,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0.04,-9999.0,-9999.0
875.3,-6.96,-14.55,13.99,320.51,1283.2,-0.2,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0.06,-9999.0,-9999.0
848.0,-9.46,-16.47,16.04,330.08,1529.1,-0.1,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0.02,-9999.0,-9999.0
817.9,-9.46,-24.44,18.74,339.05,1808.2,-0.1,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0.0,-9999.0,-9999.0
785.0,-8.66,-43.88,21.35,342.84,2125.7,-0.1,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0.0,-9999.0,-9999.0
749.3,-10.56,-48.91,23.54,343.72,2484.7,-0.1,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0.0,-9999.0,-9999.0
710.8,-13.16,-48.01,25.37,342.57,2888.2,-0.1,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0.0,-9999.0,-9999.0
669.5,-15.46,-48.54,28.46,344.3,3341.8,-0.1,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0.0,-9999.0,-9999.0
625.3,-17.06,-45.09,33.28,349.26,3855.4,-0.1,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0.0,-9999.0,-9999.0
578.6,-19.66,-42.33,37.91,349.67,4434.3,0.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0.0,-9999.0,-9999.0
533.2,-23.86,-43.09,40.56,345.14,5035.7,0.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0.0,-9999.0,-9999.0
492.3,-28.06,-46.46,42.36,342.98,5613.2,0.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0.0,-9999.0,-9999.0
455.5,-31.96,-48.78,43.36,341.02,6166.2,0.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0.0,-9999.0,-9999.0
422.2,-35.76,-51.38,43.34,338.05,6697.9,0.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0.0,-9999.0,-9999.0
392.0,-39.76,-54.43,43.35,334.74,7209.3,0.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0.0,-9999.0,-9999.0
364.7,-43.36,-58.32,43.76,331.62,7698.7,0.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0.0,-9999.0,-9999.0
340.0,-45.56,-61.13,45.05,329.45,8168.2,0.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0.0,-9999.0,-9999.0
317.6,-46.06,-61.65,46.98,328.14,8621.7,0.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0.0,-9999.0,-9999.0
297.5,-45.66,-65.2,49.37,326.99,9056.7,0.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0.0,-9999.0,-9999.0
279.3,-45.16,-70.62,50.92,326.37,9477.5,0.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0.0,-9999.0,-9999.0
262.4,-44.86,-71.05,50.53,326.62,9894.3,0.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0.0,-9999.0,-9999.0
247.0,-44.36,-71.47,48.48,326.87,10298.9,0.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0.0,-9999.0,-9999.0
232.9,-44.16,-71.87,45.6,326.9,10692.7,0.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0.0,-9999.0,-9999.0
218.7,-44.26,-72.3,42.41,326.35,11114.3,0.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0.0,-9999.0,-9999.0
204.5,-44.46,-9999.0,39.09,324.68,11563.9,0.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0.0,-9999.0,-9999.0
190.4,-44.96,-9999.0,36.33,320.92,12041.6,0.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0.0,-9999.0,-9999.0
176.2,-45.96,-9999.0,35.0,314.65,12558.2,0.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0.0,-9999.0,-9999.0
162.0,-47.66,-9999.0,36.4,308.98,13114.9,0.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0.0,-9999.0,-9999.0
147.8,-49.56,-9999.0,37.77,307.9,13717.8,0.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0.0,-9999.0,-9999.0
133.7,-51.16,-9999.0,35.67,309.31,14371.6,0.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0.0,-9999.0,-9999.0
119.5,-52.56,-9999.0,30.68,307.32,15099.0,0.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0.0,-9999.0,-9999.0
105.3,-54.46,-9999.0,26.83,302.21,15912.3,0.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0.0,-9999.0,-9999.0
92.1,-56.66,-9999.0,24.18,299.22,16765.3,0.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0.0,-9999.0,-9999.0
81.6,-58.56,-9999.0,21.92,295.4,17529.0,0.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0.0,-9999.0,-9999.0
73.0,-59.96,-9999.0,21.4,290.81,18226.3,0.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0.0,-9999.0,-9999.0
65.0,-60.46,-9999.0,21.0,287.74,18949.8,0.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0.0,-9999.0,-9999.0
57.5,-60.06,-9999.0,19.35,289.0,19713.8,0.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0.0,-9999.0,-9999.0
50.6,-58.96,-9999.0,15.58,294.26,20513.2,0.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0.0,-9999.0,-9999.0
44.1,-58.66,-9999.0,12.31,294.48,21375.8,0.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0.0,-9999.0,-9999.0
38.1,-58.26,-9999.0,12.05,292.95,22294.9,0.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0.0,-9999.0,-9999.0
32.5,-57.06,-9999.0,11.72,296.35,23297.6,0.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0.0,-9999.0,-9999.0
27.2,-56.46,-9999.0,9.84,295.26,24425.2,0.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0.0,-9999.0,-9999.0
22.4,-56.16,-9999.0,11.57,279.95,25657.6,0.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0.0,-9999.0,-9999.0
